$1
0	1	1	1	0	1	1	0	1
1	1	1	1	0	0	0	1	1
1	1	1	0	0	1	1	1	1
1	0	1	1	0	0	1	0	1
0	1	0	0	1	1	1	1	0
1	0	1	1	0	1	1	0	1
1	1	1	1	1	0	1	0	0
1	0	1	0	1	1	1	1	1
1	1	1	1	1	1	0	1	1
$2
0	1	0	1	0	1	1	0	0
1	1	1	1	0	1	1	1	1
0	1	1	1	1	1	0	1	1
0	1	0	1	1	0	1	1	1
0	0	1	1	0	1	0	1	1
1	1	1	1	1	0	1	1	1
0	1	1	1	1	0	0	1	1
1	0	1	1	0	1	0	1	1
1	1	0	1	0	1	1	1	0
$3
0	0	1	1	1	1	1	1	0
0	1	1	0	1	1	0	1	1
1	1	0	1	1	0	1	0	1
0	1	0	1	1	1	1	1	1
0	0	1	1	0	1	1	1	1
0	1	1	1	1	1	1	0	0
0	1	1	1	1	0	0	0	1
1	0	1	1	1	1	1	1	1
1	1	0	0	1	1	0	1	1
$4
1	1	1	1	1	1	1	1	1
1	1	1	0	0	0	1	1	1
1	0	1	0	1	0	0	1	1
1	0	1	0	1	1	1	1	1
0	1	0	0	1	0	1	0	0
1	0	1	1	0	1	0	1	0
0	1	1	1	1	1	1	1	1
0	0	1	1	0	0	1	1	1
1	1	1	0	1	1	1	1	0
$5
0	1	1	1	0	1	1	1	1
1	0	0	1	0	0	1	0	1
0	1	1	0	1	1	1	1	1
1	0	1	1	1	1	1	1	1
1	1	0	1	1	1	0	0	1
0	0	1	0	0	1	0	0	1
0	0	0	1	1	1	1	0	1
1	0	0	1	0	1	1	1	1
1	1	1	1	1	1	1	1	1
$6
1	1	0	0	1	0	0	1	0
1	0	1	1	1	1	1	0	1
1	1	1	0	0	1	1	1	0
1	1	1	1	1	0	1	1	0
1	1	0	0	0	1	1	1	1
1	1	1	0	0	1	1	1	1
1	0	1	1	1	0	1	1	0
1	1	1	1	1	1	0	1	1
1	1	1	0	0	1	0	0	0
$7
0	0	1	1	1	1	0	1	1
1	1	1	1	1	0	0	0	1
1	1	0	1	0	0	0	1	1
0	1	1	0	1	1	1	1	0
0	1	0	1	1	1	1	0	1
1	1	1	1	1	0	1	1	0
1	1	1	1	0	0	1	1	1
1	0	1	1	0	0	0	1	0
0	1	1	1	0	1	1	1	1
$8
0	1	1	1	1	0	1	1	0
1	1	1	0	1	1	0	1	0
1	1	1	0	1	1	0	0	1
1	0	0	1	1	1	0	1	0
1	1	1	1	0	1	0	1	1
0	0	0	1	0	1	1	0	1
1	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	0
1	1	1	0	1	1	0	0	0
$9
0	1	1	1	1	1	1	1	0
0	0	0	1	1	0	1	0	1
0	0	1	0	1	1	1	0	1
1	0	1	1	0	1	1	1	1
1	0	1	1	1	1	0	1	1
1	1	0	1	1	1	0	1	1
0	0	1	1	0	1	1	1	1
1	1	1	1	0	1	1	1	0
1	0	0	0	0	0	1	1	1
$10
1	1	0	1	1	0	1	0	1
1	1	1	1	1	1	1	1	0
0	1	0	0	1	1	1	1	1
0	0	1	1	1	1	0	1	1
1	1	1	1	1	0	0	1	1
1	0	1	1	1	1	0	1	1
1	0	1	1	1	1	1	0	0
0	1	0	0	1	0	0	0	1
0	1	1	0	0	0	1	1	0
$11
0	0	0	0	1	1	1	0	1
0	1	0	0	1	0	0	0	0
1	1	0	1	1	1	1	1	1
1	0	0	0	0	1	1	1	1
0	1	1	1	1	1	0	1	1
0	1	1	1	0	1	0	1	1
0	0	1	1	1	1	1	0	1
1	1	1	1	1	1	1	1	1
1	1	1	1	0	0	0	1	1
$12
1	1	1	1	1	1	0	1	1
1	1	1	1	0	1	0	0	1
0	1	1	0	1	1	0	1	1
0	1	1	0	1	0	0	1	0
1	1	1	0	1	1	1	1	0
1	1	1	1	1	1	1	1	0
0	0	0	0	1	1	1	0	1
1	1	1	1	0	1	0	1	1
0	0	1	0	1	0	0	1	0
$13
0	1	1	1	1	0	1	1	0
0	1	0	0	0	1	0	0	1
1	1	1	1	0	1	1	1	0
1	1	0	0	1	0	1	1	1
1	0	1	1	0	1	0	1	1
1	0	1	1	1	1	0	1	1
1	0	1	1	0	1	0	1	1
1	0	0	1	0	1	1	1	0
1	1	1	1	1	0	1	0	0
$14
1	0	1	1	0	0	0	0	1
1	1	1	0	1	1	1	0	1
1	1	0	1	1	0	1	1	1
1	1	0	1	0	0	0	1	1
0	0	1	1	1	1	0	0	1
0	1	1	1	1	0	0	1	0
1	0	1	1	1	1	1	0	1
1	1	1	1	1	1	0	1	0
1	0	1	1	1	1	0	0	0
$15
1	1	0	1	1	0	1	0	1
1	1	1	1	0	1	1	1	0
1	0	1	0	1	1	1	0	1
0	1	1	0	0	1	1	0	0
1	0	0	0	0	0	1	1	0
1	0	1	1	1	1	0	1	1
1	1	1	0	1	0	1	1	1
1	0	0	1	1	0	1	1	1
0	1	0	1	1	1	1	1	0
$16
0	1	1	1	1	0	1	0	1
1	1	1	0	0	0	0	1	1
0	1	1	1	1	1	1	1	0
1	0	1	1	0	0	1	1	1
1	1	1	1	1	0	1	0	1
0	1	0	0	1	1	0	1	1
0	1	0	0	1	0	0	1	1
1	0	1	0	0	1	0	1	1
1	0	1	1	1	1	0	0	1
$17
0	0	1	1	0	0	0	0	0
0	1	1	1	1	1	0	1	0
1	1	0	0	1	1	1	0	1
1	1	1	1	1	0	1	1	1
0	1	1	1	0	1	1	1	0
0	1	0	1	0	1	1	1	1
1	0	1	0	1	0	0	0	1
0	1	1	1	0	1	0	0	0
1	1	1	1	1	1	1	1	1
$18
1	0	1	1	0	1	1	1	0
1	0	1	0	0	1	0	1	1
0	1	0	1	1	1	0	0	1
0	1	0	1	1	1	1	1	0
1	0	1	1	0	1	0	0	1
0	1	0	1	0	1	1	0	1
0	1	0	1	1	1	1	0	1
1	1	1	1	1	0	1	0	1
1	1	1	0	1	0	1	0	1
$19
1	0	1	1	1	1	1	1	1
0	0	1	0	1	1	0	1	1
1	1	0	0	0	1	1	1	1
0	1	0	1	0	0	0	1	1
1	1	0	1	1	0	1	1	0
1	0	0	1	1	0	1	1	0
